,Date/Time,Lat,Lon,Base,Hour,KMEANS5_labels,DBSCAN_labels,AGGC_label,Day,KMEANS_label,DBSCAN_label
651259,2014-06-30 10:01:00,40.7377,-73.9826,3,10,7,0,2,0,0,0
59866,2014-06-04 17:28:00,40.7418,-73.9894,1,17,7,0,2,2,4,0
614659,2014-06-24 17:09:00,40.7534,-73.9793,3,17,7,0,2,1,4,0
144284,2014-06-13 19:19:00,40.7566,-73.9669,1,19,7,0,2,4,4,0
487037,2014-06-05 10:10:00,40.6658,-73.9947,3,10,0,0,0,3,0,0
110033,2014-06-10 14:46:00,40.7258,-74.0041,1,14,2,0,0,1,0,0
21753,2014-06-19 20:14:00,40.7747,-73.9633,0,20,1,0,2,3,4,0
589507,2014-06-20 06:16:00,40.7381,-74.0049,3,6,2,0,0,4,0,0
254837,2014-06-27 22:11:00,40.6734,-73.957,1,22,0,0,0,4,0,0
502189,2014-06-07 09:53:00,40.6982,-73.9958,3,9,2,0,0,5,0,0
439917,2014-06-27 20:37:00,40.7699,-73.8644,2,20,6,2,1,4,3,2
565870,2014-06-16 17:42:00,40.7357,-74.0068,3,17,2,0,0,0,0,0
544215,2014-06-13 07:40:00,40.7252,-73.9834,3,7,2,0,0,4,0,0
197691,2014-06-20 16:45:00,40.76,-73.9787,1,16,7,0,2,4,4,0
268632,2014-06-29 21:51:00,40.7409,-74.0089,1,21,2,0,0,6,0,0
180541,2014-06-18 19:09:00,40.7073,-74.0026,1,19,2,0,0,2,0,0
633398,2014-06-27 07:45:00,40.7877,-73.9538,3,7,1,0,2,4,4,0
459479,2014-06-30 21:30:00,40.7008,-73.9919,2,21,2,0,0,0,0,0
595588,2014-06-20 23:26:00,40.7201,-74.0086,3,23,2,0,0,4,0,0
223891,2014-06-24 14:59:00,40.7269,-73.9799,1,14,2,0,0,1,0,0
414805,2014-06-24 19:23:00,40.7789,-73.9822,2,19,7,0,2,1,4,0
518531,2014-06-09 21:07:00,40.7512,-74.0066,3,21,2,0,0,0,4,0
233749,2014-06-25 17:42:00,40.7549,-73.9958,1,17,7,0,2,2,4,0
138413,2014-06-13 10:05:00,40.6464,-73.7893,1,10,3,1,4,4,1,1
407984,2014-06-23 17:20:00,40.7253,-73.9924,2,17,2,0,0,0,0,0
656135,2014-06-05 16:58:00,40.6888,-73.9928,4,16,0,0,0,3,0,0
34134,2014-06-01 09:48:00,40.7363,-73.9981,1,9,2,0,0,6,0,0
462988,2014-06-01 16:23:00,40.774,-73.9485,3,16,1,0,2,6,4,0
582351,2014-06-19 08:39:00,40.7438,-73.9834,3,8,7,0,2,3,4,0
83622,2014-06-06 23:54:00,40.7386,-73.9854,1,23,7,0,2,4,0,0
122342,2014-06-11 19:36:00,40.7295,-73.8635,1,19,6,-1,1,2,3,-1
248077,2014-06-27 06:52:00,40.7701,-73.9614,1,6,1,0,2,4,4,0
560771,2014-06-15 16:29:00,40.721,-73.9841,3,16,2,0,0,6,0,0
415449,2014-06-24 20:53:00,40.612,-73.9409,2,20,0,-1,0,1,0,-1
452806,2014-06-29 18:28:00,40.7444,-73.9752,2,18,7,0,2,6,4,0
53153,2014-06-03 20:27:00,40.7343,-73.9937,1,20,2,0,0,1,0,0
27797,2014-06-26 08:11:00,40.7255,-74.0055,0,8,2,0,0,3,0,0
97007,2014-06-08 21:37:00,40.646,-73.7768,1,21,3,1,4,6,1,1
62028,2014-06-04 21:04:00,40.6713,-73.9845,1,21,0,0,0,2,0,0
256772,2014-06-28 05:39:00,40.6891,-73.9927,1,5,0,0,0,5,0,0
187081,2014-06-19 15:13:00,40.7558,-73.9751,1,15,7,0,2,3,4,0
610934,2014-06-23 22:22:00,40.7835,-73.9707,3,22,1,0,2,0,4,0
13497,2014-06-12 17:48:00,40.6853,-73.9674,0,17,0,0,0,3,0,0
623899,2014-06-25 22:24:00,40.756,-73.9832,3,22,7,0,2,2,4,0
156437,2014-06-15 13:50:00,40.7261,-73.9985,1,13,2,0,0,6,0,0
658991,2014-06-13 19:06:00,40.7106,-74.0096,4,19,2,0,0,4,0,0
86311,2014-06-07 13:22:00,40.7234,-73.9771,1,13,2,0,0,5,0,0
613422,2014-06-24 13:50:00,40.7201,-73.999,3,13,2,0,0,1,0,0
543291,2014-06-13 04:37:00,40.7375,-73.9881,3,4,2,0,2,4,0,0
174557,2014-06-18 06:47:00,40.6878,-74.1812,1,6,5,3,3,2,2,3
32123,2014-06-30 16:12:00,40.8155,-73.9581,0,16,1,0,2,0,4,0
65349,2014-06-05 08:20:00,40.7212,-73.9563,1,8,0,0,0,3,0,0
86278,2014-06-07 13:17:00,40.6915,-74.1772,1,13,5,3,3,5,2,3
604782,2014-06-22 17:56:00,40.74,-73.9896,3,17,2,0,2,6,0,0
9688,2014-06-09 17:42:00,40.7301,-73.9938,0,17,2,0,0,0,0,0
183316,2014-06-19 06:02:00,40.7705,-73.9565,1,6,1,0,2,3,4,0
543068,2014-06-13 01:55:00,40.7218,-73.944,3,1,0,0,0,4,0,0
200679,2014-06-20 22:12:00,40.7512,-73.9942,1,22,7,0,2,4,4,0
236225,2014-06-25 21:25:00,40.679,-74.0112,1,21,0,0,0,2,0,0
373812,2014-06-18 15:17:00,40.7586,-73.9926,2,15,7,0,2,2,4,0
354759,2014-06-14 22:03:00,40.7145,-73.9979,2,22,2,0,0,5,0,0
602835,2014-06-22 10:50:00,40.7789,-73.9762,3,10,1,0,2,6,4,0
364265,2014-06-16 21:42:00,40.7968,-73.949,2,21,1,0,2,0,4,0
6650,2014-06-06 18:10:00,40.7767,-73.961,0,18,1,0,2,4,4,0
157520,2014-06-15 17:05:00,40.7015,-73.943,1,17,0,0,0,6,0,0
352722,2014-06-14 16:03:00,40.7245,-73.9913,2,16,2,0,0,5,0,0
400248,2014-06-22 04:57:00,40.7621,-73.9784,2,4,7,0,2,6,4,0
369357,2014-06-17 19:41:00,40.7685,-73.8625,2,19,6,2,1,1,3,2
420125,2014-06-25 15:55:00,40.7451,-73.995,2,15,7,0,2,2,4,0
536694,2014-06-12 12:19:00,40.7348,-74.0031,3,12,2,0,0,3,0,0
239374,2014-06-26 09:42:00,40.7174,-73.8619,1,9,6,-1,1,3,3,-1
516928,2014-06-09 17:09:00,40.7247,-73.9973,3,17,2,0,0,0,0,0
400870,2014-06-22 10:47:00,40.7878,-73.9751,2,10,1,0,2,6,4,0
207208,2014-06-21 20:52:00,40.7641,-73.9543,1,20,1,0,2,5,4,0
406218,2014-06-23 11:37:00,40.7272,-74.0002,2,11,2,0,0,0,0,0
416763,2014-06-25 05:59:00,40.7376,-74.0094,2,5,2,0,0,2,0,0
316676,2014-06-09 06:47:00,40.687,-73.9436,2,6,0,0,0,0,0,0
79042,2014-06-06 16:09:00,40.7129,-73.9661,1,16,0,0,0,4,0,0
157826,2014-06-15 18:02:00,40.748,-73.9472,1,18,7,0,2,6,4,0
495411,2014-06-06 11:55:00,40.7424,-73.9745,3,11,7,0,2,4,4,0
266073,2014-06-29 14:25:00,40.6602,-73.9426,1,14,0,0,0,6,0,0
51582,2014-06-03 18:00:00,40.766,-73.9694,1,18,7,0,2,1,4,0
513891,2014-06-09 08:35:00,40.749,-73.869,3,8,6,2,1,0,3,2
59747,2014-06-04 17:19:00,40.7555,-73.9928,1,17,7,0,2,2,4,0
356349,2014-06-15 07:52:00,40.6457,-73.7767,2,7,3,1,4,6,1,1
654012,2014-06-30 19:56:00,40.7266,-74.0024,3,19,2,0,0,0,0,0
82568,2014-06-06 22:16:00,40.7366,-73.991,1,22,2,0,2,4,0,0
91758,2014-06-08 00:15:00,40.7496,-73.9879,1,0,7,0,2,6,4,0
528656,2014-06-11 12:01:00,40.7125,-73.9626,3,12,0,0,0,2,0,0
341855,2014-06-12 23:09:00,40.7431,-74.0085,2,23,2,0,0,3,0,0
397491,2014-06-21 19:17:00,40.727,-73.9916,2,19,2,0,0,5,0,0
481824,2014-06-04 17:35:00,40.7238,-74.0025,3,17,2,0,0,2,0,0
356305,2014-06-15 07:03:00,40.7475,-73.9722,2,7,7,0,2,6,4,0
535240,2014-06-12 07:57:00,40.7393,-74.0025,3,7,2,0,0,3,0,0
400243,2014-06-22 04:50:00,40.7175,-73.9933,2,4,2,0,0,6,0,0
581711,2014-06-19 07:00:00,40.6893,-73.913,3,7,0,0,0,3,0,0
538658,2014-06-12 16:48:00,40.7079,-74.003,3,16,2,0,0,3,0,0
407181,2014-06-23 15:18:00,40.7744,-73.9815,2,15,7,0,2,0,4,0
207907,2014-06-21 22:13:00,40.7514,-73.9718,1,22,7,0,2,5,4,0
201356,2014-06-20 23:17:00,40.7246,-74.0029,1,23,2,0,0,4,0,0
309501,2014-06-07 16:54:00,40.8311,-73.9517,2,16,1,0,2,5,4,0
659727,2014-06-16 17:19:00,40.7132,-73.9388,4,17,0,0,0,0,0,0
445901,2014-06-28 17:59:00,40.7168,-74.0054,2,17,2,0,0,5,0,0
101244,2014-06-09 11:08:00,40.7423,-73.999,1,11,2,0,0,0,0,0
500021,2014-06-06 22:21:00,40.7337,-74.0028,3,22,2,0,0,4,0,0
548763,2014-06-13 17:36:00,40.7584,-73.9769,3,17,7,0,2,4,4,0
434981,2014-06-27 08:19:00,40.7369,-74.0033,2,8,2,0,0,4,0,0
306331,2014-06-06 22:59:00,40.7531,-73.9895,2,22,7,0,2,4,4,0
659871,2014-06-17 10:06:00,40.7677,-73.9853,4,10,7,0,2,1,4,0
551952,2014-06-13 22:57:00,40.6905,-74.1783,3,22,5,3,3,4,2,3
377004,2014-06-18 21:41:00,40.7584,-73.9771,2,21,7,0,2,2,4,0
105911,2014-06-09 21:47:00,40.7507,-73.9982,1,21,7,0,2,0,4,0
401541,2014-06-22 13:30:00,40.7778,-73.9632,2,13,1,0,2,6,4,0
427968,2014-06-26 14:20:00,40.7643,-73.983,2,14,7,0,2,3,4,0
135434,2014-06-13 00:09:00,40.7764,-73.9598,1,0,1,0,2,4,4,0
274632,2014-06-30 20:41:00,40.7531,-73.9721,1,20,7,0,2,0,4,0
120440,2014-06-11 16:51:00,40.79,-73.9753,1,16,1,0,2,2,4,0
441351,2014-06-27 23:25:00,40.7636,-73.83,2,23,6,-1,1,4,3,-1
644008,2014-06-28 21:18:00,40.7263,-73.9785,3,21,2,0,0,5,0,0
35825,2014-06-01 15:05:00,40.644,-73.7828,1,15,3,1,4,6,1,1
321936,2014-06-10 05:12:00,40.7852,-73.9712,2,5,1,0,2,1,4,0
652802,2014-06-30 16:19:00,40.7594,-73.981,3,16,7,0,2,0,4,0
637760,2014-06-27 20:18:00,40.72,-73.9942,3,20,2,0,0,4,0,0
194813,2014-06-20 09:18:00,40.7178,-73.9637,1,9,0,0,0,4,0,0
100698,2014-06-09 09:47:00,40.6879,-73.9477,1,9,0,0,0,0,0,0
661985,2014-06-24 07:44:00,40.7435,-73.9728,4,7,7,0,2,1,4,0
23130,2014-06-20 22:56:00,40.7539,-73.9889,0,22,7,0,2,4,4,0
203881,2014-06-21 12:39:00,40.7655,-73.9192,1,12,1,0,2,5,3,0
53040,2014-06-03 20:14:00,40.759,-73.9813,1,20,7,0,2,1,4,0
222556,2014-06-24 10:26:00,40.7734,-73.9648,1,10,1,0,2,1,4,0
577105,2014-06-18 15:28:00,40.7509,-74.0056,3,15,2,0,0,2,4,0
649122,2014-06-29 20:45:00,40.7213,-74.0044,3,20,2,0,0,6,0,0
126829,2014-06-12 09:58:00,40.7541,-73.998,1,9,7,0,2,3,4,0
70879,2014-06-05 18:25:00,40.7453,-73.9867,1,18,7,0,2,3,4,0
518595,2014-06-09 21:18:00,40.7404,-73.9726,3,21,7,0,2,0,4,0
92518,2014-06-08 03:30:00,40.7217,-73.9996,1,3,2,0,0,6,0,0
379157,2014-06-19 09:23:00,40.7169,-74.0108,2,9,2,0,0,3,0,0
591693,2014-06-20 14:07:00,40.722,-73.9985,3,14,2,0,0,4,0,0
117449,2014-06-11 10:14:00,40.7451,-73.989,1,10,7,0,2,2,4,0
217968,2014-06-23 15:58:00,40.7553,-73.9864,1,15,7,0,2,0,4,0
507722,2014-06-08 01:52:00,40.7377,-73.9916,3,1,2,0,2,6,0,0
186545,2014-06-19 14:16:00,40.7572,-73.9689,1,14,7,0,2,3,4,0
457785,2014-06-30 16:56:00,40.7491,-73.8699,2,16,6,2,1,0,3,2
453767,2014-06-29 21:55:00,40.6184,-73.9691,2,21,0,-1,0,6,0,-1
121414,2014-06-11 18:10:00,40.742,-74.0039,1,18,2,0,0,2,0,0
625106,2014-06-26 06:48:00,40.7629,-73.9822,3,6,7,0,2,3,4,0
578385,2014-06-18 17:51:00,40.763,-73.9794,3,17,7,0,2,2,4,0
329878,2014-06-11 12:47:00,40.741,-74.0016,2,12,2,0,0,2,0,0
351318,2014-06-14 09:08:00,40.7382,-73.9736,2,9,7,0,0,5,4,0
124352,2014-06-11 23:16:00,40.7377,-73.8983,1,23,6,-1,1,2,3,-1
20542,2014-06-18 22:56:00,40.6932,-73.9996,0,22,2,0,0,2,0,0
453571,2014-06-29 21:16:00,40.7541,-73.9998,2,21,7,0,2,6,4,0
418765,2014-06-25 12:36:00,40.7265,-74.0024,2,12,2,0,0,2,0,0
483458,2014-06-04 21:07:00,40.73,-74.0005,3,21,2,0,0,2,0,0
54233,2014-06-03 22:54:00,40.7674,-73.9666,1,22,7,0,2,1,4,0
517344,2014-06-09 17:55:00,40.7235,-73.9889,3,17,2,0,0,0,0,0
378806,2014-06-19 08:15:00,40.7491,-73.9734,2,8,7,0,2,3,4,0
526081,2014-06-11 00:22:00,40.7568,-74.0318,3,0,2,0,0,2,4,0
344366,2014-06-13 10:16:00,40.7333,-74.0047,2,10,2,0,0,4,0,0
218833,2014-06-23 17:45:00,40.7176,-73.9993,1,17,2,0,0,0,0,0
404279,2014-06-22 22:48:00,40.7495,-73.9924,2,22,7,0,2,6,4,0
287601,2014-06-03 20:26:00,40.7207,-73.9871,2,20,2,0,0,1,0,0
358376,2014-06-15 17:48:00,40.699,-73.9923,2,17,2,0,0,6,0,0
445565,2014-06-28 17:12:00,40.7397,-73.927,2,17,1,0,2,5,4,0
649763,2014-06-30 00:57:00,40.7562,-73.9934,3,0,7,0,2,0,4,0
108905,2014-06-10 11:31:00,40.7275,-74.0073,1,11,2,0,0,1,0,0
4911,2014-06-05 13:14:00,40.741,-73.994,0,13,2,0,2,3,0,0
280878,2014-06-02 13:51:00,40.7787,-73.9615,2,13,1,0,2,0,4,0
57220,2014-06-04 12:51:00,40.7332,-73.9812,1,12,2,0,0,2,0,0
387329,2014-06-20 08:54:00,40.6202,-74.1564,2,8,5,-1,3,4,2,-1
204842,2014-06-21 15:41:00,40.7268,-73.9834,1,15,2,0,0,5,0,0
152053,2014-06-14 20:09:00,40.6775,-74.0005,1,20,0,0,0,5,0,0
342887,2014-06-13 06:38:00,40.7483,-73.9959,2,6,7,0,2,4,4,0
327405,2014-06-10 22:48:00,40.7401,-73.9865,2,22,7,0,2,1,4,0
549541,2014-06-13 18:21:00,40.7606,-73.9761,3,18,7,0,2,4,4,0
593765,2014-06-20 18:59:00,40.7694,-73.982,3,18,7,0,2,4,4,0
47564,2014-06-03 10:34:00,40.7752,-73.9892,1,10,7,0,2,1,4,0
431960,2014-06-26 20:48:00,40.7528,-73.9814,2,20,7,0,2,3,4,0
542174,2014-06-12 22:29:00,40.7371,-73.9962,3,22,2,0,0,3,0,0
84707,2014-06-07 07:07:00,40.8531,-73.5755,1,7,8,-1,1,5,1,-1
559475,2014-06-15 10:43:00,40.7556,-73.988,3,10,7,0,2,6,4,0
555067,2014-06-14 15:34:00,40.7351,-73.9837,3,15,2,0,0,5,0,0
266816,2014-06-29 16:24:00,40.7208,-73.9939,1,16,2,0,0,6,0,0
567415,2014-06-17 00:16:00,40.7541,-73.9784,3,0,7,0,2,1,4,0
496585,2014-06-06 15:08:00,40.7565,-73.9782,3,15,7,0,2,4,4,0
432495,2014-06-26 21:35:00,40.6767,-73.9635,2,21,0,0,0,3,0,0
370003,2014-06-17 21:12:00,40.7196,-74.0103,2,21,2,0,0,1,0,0
251728,2014-06-27 16:15:00,40.7402,-73.9895,1,16,2,0,2,4,0,0
506186,2014-06-07 22:00:00,40.7736,-73.9823,3,22,7,0,2,5,4,0
300674,2014-06-05 23:39:00,40.7593,-73.9722,2,23,7,0,2,3,4,0
526643,2014-06-11 06:30:00,40.7161,-74.0041,3,6,2,0,0,2,0,0
147709,2014-06-14 06:35:00,40.7025,-73.815,1,6,3,-1,4,5,1,-1
294836,2014-06-05 07:21:00,40.7313,-73.9756,2,7,2,0,0,3,0,0
144098,2014-06-13 19:06:00,40.7382,-74.0029,1,19,2,0,0,4,0,0
297981,2014-06-05 17:17:00,40.6946,-73.9502,2,17,0,0,0,3,0,0
628394,2014-06-26 16:16:00,40.6658,-73.9897,3,16,0,0,0,3,0,0
549418,2014-06-13 18:15:00,40.711,-74.0062,3,18,2,0,0,4,0,0
648486,2014-06-29 17:49:00,40.7197,-73.9847,3,17,2,0,0,6,0,0
367293,2014-06-17 15:07:00,40.6678,-73.9424,2,15,0,0,0,1,0,0
31530,2014-06-29 20:25:00,40.7281,-74.0075,0,20,2,0,0,6,0,0
269021,2014-06-29 23:18:00,40.7083,-73.914,1,23,0,0,0,6,0,0
367292,2014-06-17 15:07:00,40.7109,-74.0171,2,15,2,0,0,1,0,0
663251,2014-06-28 01:31:00,40.6716,-73.9496,4,1,0,0,0,5,0,0
263398,2014-06-29 00:53:00,40.7647,-73.988,1,0,7,0,2,6,4,0
125651,2014-06-12 07:26:00,40.7552,-73.9733,1,7,7,0,2,3,4,0
591782,2014-06-20 14:22:00,40.7233,-73.9957,3,14,2,0,0,4,0,0
343169,2014-06-13 07:25:00,40.7269,-73.9856,2,7,2,0,0,4,0,0
629287,2014-06-26 17:48:00,40.6464,-73.7896,3,17,3,1,4,3,1,1
605110,2014-06-22 19:16:00,40.6785,-73.9791,3,19,0,0,0,6,0,0
227191,2014-06-24 21:27:00,40.7539,-73.9759,1,21,7,0,2,1,4,0
591270,2014-06-20 12:38:00,40.7143,-74.0079,3,12,2,0,0,4,0,0
612207,2014-06-24 08:22:00,40.7283,-73.9944,3,8,2,0,0,1,0,0
411457,2014-06-24 10:23:00,40.7225,-73.9976,2,10,2,0,0,1,0,0
631292,2014-06-26 21:26:00,40.6984,-73.9926,3,21,0,0,0,3,0,0
173389,2014-06-17 22:05:00,40.759,-73.9869,1,22,7,0,2,1,4,0
270572,2014-06-30 08:49:00,40.7226,-74.0105,1,8,2,0,0,0,0,0
329056,2014-06-11 09:07:00,40.7713,-73.9494,2,9,1,0,2,2,4,0
178727,2014-06-18 16:30:00,40.7248,-74.0077,1,16,2,0,0,2,0,0
12596,2014-06-12 06:19:00,40.7823,-73.9804,0,6,1,0,2,3,4,0
219905,2014-06-23 20:37:00,40.7049,-74.0121,1,20,2,0,0,0,0,0
568901,2014-06-17 09:45:00,40.6394,-73.958,3,9,0,0,0,1,0,0
457162,2014-06-30 15:29:00,40.6447,-73.7825,2,15,3,1,4,0,1,1
553619,2014-06-14 09:45:00,40.7334,-73.9592,3,9,7,0,0,5,4,0
484550,2014-06-05 03:03:00,40.7559,-73.9807,3,3,7,0,2,3,4,0
54205,2014-06-03 22:47:00,40.7376,-74.0081,1,22,2,0,0,1,0,0
460688,2014-06-01 03:40:00,40.6803,-73.9761,3,3,0,0,0,6,0,0
611432,2014-06-24 05:29:00,40.6483,-73.7826,3,5,3,1,4,1,1,1
511840,2014-06-08 22:51:00,40.7453,-73.9724,3,22,7,0,2,6,4,0
462332,2014-06-01 14:24:00,40.6939,-73.9992,3,14,2,0,0,6,0,0
241016,2014-06-26 14:19:00,40.7405,-73.9861,1,14,7,0,2,3,4,0
102729,2014-06-09 15:16:00,40.7338,-73.9928,1,15,2,0,0,0,0,0
649835,2014-06-30 03:07:00,40.6886,-73.9428,3,3,0,0,0,0,0,0
79375,2014-06-06 16:40:00,40.724,-73.5875,1,16,8,-1,1,4,1,-1
227160,2014-06-24 21:23:00,40.7554,-73.9768,1,21,7,0,2,1,4,0
68027,2014-06-05 14:17:00,40.7478,-73.9752,1,14,7,0,2,3,4,0
354149,2014-06-14 20:20:00,40.7577,-73.8446,2,20,6,-1,1,5,3,-1
422149,2014-06-25 18:50:00,40.7644,-73.9687,2,18,7,0,2,2,4,0
324328,2014-06-10 14:57:00,40.7658,-73.981,2,14,7,0,2,1,4,0
661176,2014-06-20 21:10:00,40.7739,-73.8716,4,21,6,2,1,4,3,2
588356,2014-06-19 22:22:00,40.7408,-74.0049,3,22,2,0,0,3,0,0
650896,2014-06-30 08:26:00,40.7239,-73.9922,3,8,2,0,0,0,0,0
387646,2014-06-20 10:14:00,40.7459,-74.0099,2,10,2,0,0,4,0,0
28603,2014-06-26 19:27:00,40.7646,-73.97,0,19,7,0,2,3,4,0
599237,2014-06-21 18:08:00,40.7263,-73.9894,3,18,2,0,0,5,0,0
16707,2014-06-15 01:12:00,40.7486,-74.0302,0,1,2,0,0,6,0,0
609560,2014-06-23 17:25:00,40.7813,-73.9801,3,17,1,0,2,0,4,0
311984,2014-06-08 00:07:00,40.7512,-73.9941,2,0,7,0,2,6,4,0
261580,2014-06-28 21:06:00,40.7443,-73.9876,1,21,7,0,2,5,4,0
217658,2014-06-23 15:12:00,40.7257,-73.994,1,15,2,0,0,0,0,0
266782,2014-06-29 16:19:00,40.6436,-74.0167,1,16,0,-1,0,6,0,-1
505962,2014-06-07 21:29:00,40.7651,-73.9908,3,21,7,0,2,5,4,0
172340,2014-06-17 20:07:00,40.7639,-73.9733,1,20,7,0,2,1,4,0
604762,2014-06-22 17:52:00,40.7354,-73.9748,3,17,7,0,0,6,0,0
663168,2014-06-27 20:09:00,40.7558,-73.9725,4,20,7,0,2,4,4,0
360212,2014-06-16 06:56:00,40.772,-73.9555,2,6,1,0,2,0,4,0
365731,2014-06-17 08:46:00,40.7325,-73.9767,2,8,7,0,0,1,0,0
252078,2014-06-27 16:53:00,40.7515,-73.9761,1,16,7,0,2,4,4,0
265370,2014-06-29 12:01:00,40.7454,-73.982,1,12,7,0,2,6,4,0
543616,2014-06-13 06:21:00,40.7339,-73.9907,3,6,2,0,0,4,0,0
214731,2014-06-23 04:16:00,40.646,-73.7768,1,4,3,1,4,0,1,1
57687,2014-06-04 14:09:00,40.7649,-73.9787,1,14,7,0,2,2,4,0
282592,2014-06-02 20:17:00,40.754,-73.9805,2,20,7,0,2,0,4,0
535954,2014-06-12 09:44:00,40.7582,-73.98,3,9,7,0,2,3,4,0
648502,2014-06-29 17:53:00,40.7591,-73.9644,3,17,7,0,2,6,4,0
381042,2014-06-19 15:10:00,40.7637,-73.972,2,15,7,0,2,3,4,0
163368,2014-06-16 16:50:00,40.7632,-73.9711,1,16,7,0,2,0,4,0
198774,2014-06-20 18:31:00,40.7313,-73.9922,1,18,2,0,0,4,0,0
559701,2014-06-15 11:56:00,40.7203,-73.9423,3,11,0,0,0,6,0,0
616243,2014-06-24 21:02:00,40.6751,-74.0166,3,21,0,0,0,1,0,0
621585,2014-06-25 17:48:00,40.6951,-73.992,3,17,0,0,0,2,0,0
485600,2014-06-05 07:23:00,40.7412,-73.9977,3,7,2,0,0,3,0,0
285459,2014-06-03 15:23:00,40.763,-73.9721,2,15,7,0,2,1,4,0
177814,2014-06-18 15:11:00,40.7066,-73.8335,1,15,6,-1,1,2,1,-1
318549,2014-06-09 12:00:00,40.737,-74.0093,2,12,2,0,0,0,0,0
275070,2014-06-30 21:51:00,40.6447,-73.7819,1,21,3,1,4,0,1,1
410884,2014-06-24 08:17:00,40.7637,-73.956,2,8,1,0,2,1,4,0
290025,2014-06-04 11:45:00,40.7342,-73.9748,2,11,7,0,0,2,0,0
608258,2014-06-23 13:09:00,40.7613,-73.9779,3,13,7,0,2,0,4,0
449991,2014-06-29 08:23:00,40.6845,-73.998,2,8,0,0,0,6,0,0
364445,2014-06-16 22:27:00,40.7528,-73.966,2,22,7,0,2,0,4,0
609243,2014-06-23 16:34:00,40.7649,-73.959,3,16,1,0,2,0,4,0
495955,2014-06-06 13:39:00,40.7159,-74.0118,3,13,2,0,0,4,0,0
368890,2014-06-17 18:29:00,40.6448,-73.782,2,18,3,1,4,1,1,1
178789,2014-06-18 16:35:00,40.6446,-73.7825,1,16,3,1,4,2,1,1
65055,2014-06-05 07:56:00,40.7727,-73.9515,1,7,1,0,2,3,4,0
644031,2014-06-28 21:22:00,40.7168,-74.0001,3,21,2,0,0,5,0,0
150566,2014-06-14 16:47:00,40.7347,-74.0096,1,16,2,0,0,5,0,0
297689,2014-06-05 16:39:00,40.7189,-74.0104,2,16,2,0,0,3,0,0
566453,2014-06-16 19:45:00,40.7439,-74.0064,3,19,2,0,0,0,0,0
357584,2014-06-15 14:55:00,40.765,-73.9733,2,14,7,0,2,6,4,0
444202,2014-06-28 14:03:00,40.7187,-74.0029,2,14,2,0,0,5,0,0
